IDLabelStudio,N,sector,unidadSocial,machoAlfa,machoAlfaMerto,machosOtros,hembras,lactantes,destetadas,totalElefanteVivos,lMuertasRec,lMuertasInterm,otrosMachosMuertos,hembrasMuertas,destetadosMuertos,totalCriasMuertas,totalElefantesMuertos,lobosMuertos,gaviotas,residuosTotales,latitud,longitud,,residuosTotalesCajonesYOtros),gaviotas,totalElefanteVivos,totalElefantesMuertos,lobosMuertos
77969782,1242,sur,H1,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,-42.812611,-63.777531,,0,0,3,0,0
77969781,1243,sur,H1,1,0,0,5,1,0,7,0,0,0,0,0,0,0,0,0,0,-42.812386,-63.776145,,0,0,7,0,0
77969778,1246,sur,H1,1,0,2,66,42,8,119,10,1,0,0,0,11,11,0,28,0,-42.812439,-63.771017,,0,28,119,11,0
77969772,1251,sur,H1,1,0,2,66,45,4,118,7,2,0,1,1,10,11,0,13,0,-42.811967,-63.765699,,0,13,118,11,0
77969769,1254,sur,S,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,-42.810819,-63.762143,,0,0,2,0,0
77969775,1256,sur,H1,1,0,1,5,0,0,7,0,0,0,0,0,0,0,1,0,0,-42.810378,-63.758242,,0,0,7,0,1
77969767,1257,sur,H1,1,0,2,35,22,0,60,4,1,0,0,0,5,5,0,0,0,-42.810232,-63.755649,,0,0,60,5,0
77969764,1260,sur,H1,1,0,2,4,0,0,7,0,0,0,0,0,0,0,4,0,0,-42.809894,-63.752081,,0,0,7,0,4
77969760,1264,sur,PS,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,-42.811013,-63.74128,,0,0,2,0,0
77969755,1269,sur,H1,1,0,0,8,7,0,16,7,0,0,0,0,7,7,1,0,0,-42.8133,-63.738378,,0,0,16,7,1
77969748,1271,sur,S,0,0,2,1,0,1,4,10,0,0,0,0,10,10,6,0,0,-42.813086,-63.736486,,0,0,4,10,6
77969752,1273,sur,H1s/m,0,0,0,8,3,0,11,0,0,0,0,0,0,0,0,0,0,-42.81266,-63.732482,,0,0,11,0,0
77969749,1276,sur,H1,1,0,0,10,4,0,15,4,0,0,0,0,4,4,0,0,0,-42.812363,-63.731984,,0,0,15,4,0
77969749,1276,sur,H2,1,0,0,9,4,0,14,15,0,0,0,0,15,15,0,0,0,-42.812052,-63.731724,,0,0,14,15,0
77969747,1277,sur,H1,1,0,1,14,7,0,23,5,0,0,0,0,5,5,5,0,0,-42.811037,-63.729553,,0,0,23,5,5
77969745,1279,sur,S,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-42.811161,-63.727835,,0,0,1,0,1
77969744,1280,sur,S,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,-42.811068,-63.726805,,0,0,3,0,0
77969743,1281,sur,H1,1,0,4,5,0,0,10,0,0,0,0,0,0,0,0,0,0,-42.810794,-63.725945,,0,0,10,0,0
77969742,1282,sur,S,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,-42.810695,-63.725759,,0,0,2,0,0
77969739,1283,sur,S,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-42.80963,-63.724505,,0,0,1,0,0
77969738,1284,sur,H1,1,0,1,7,3,0,12,3,1,0,0,0,4,4,1,61,0,-42.808144,-63.723167,,0,61,12,4,1
77969737,1285,sur,H1,1,0,0,63,28,0,92,51,1,0,2,0,52,54,5,75,0,-42.807233,-63.722034,,0,75,92,54,5
77969731,1292,sur,H1,1,0,1,24,21,2,49,3,0,0,0,0,3,3,0,7,0,-42.803934,-63.710795,,0,7,49,3,0
77969730,1293,sur,S,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-42.80255,-63.707754,,0,0,1,0,0
77969725,1295,sur,H1,1,0,1,20,16,7,45,9,1,1,1,1,11,13,4,24,0,-42.802086,-63.707191,,0,24,45,13,4
77969727,1298,sur,H1,1,0,0,2,2,1,6,0,1,0,0,0,1,1,0,0,0,-42.801573,-63.705443,,0,0,6,1,0
77969727,1298,sur,S,0,0,1,1,0,0,2,20,5,0,0,0,25,25,1,0,0,-42.801605,-63.705515,,0,0,2,25,1
77969726,1299,sur,H1,1,0,0,56,33,2,92,18,2,0,0,0,20,20,1,0,0,-42.800528,-63.70478,,0,0,92,20,1
77969719,1302,sur,H1,1,0,0,32,19,0,52,6,2,0,0,0,8,8,0,12,0,-42.7987,-63.703618,,0,12,52,8,0
77969723,1304,sur,H1,1,0,0,31,18,0,50,9,4,0,0,0,13,13,0,6,0,-42.796873,-63.700954,,0,6,50,13,0
77969718,1306,sur,PS,1,0,0,1,0,0,2,1,0,0,0,0,1,1,0,0,0,-42.795682,-63.698057,,0,0,2,1,0
77969716,1308,sur,H1,1,0,1,27,19,1,49,8,1,0,0,0,9,9,1,12,0,-42.795337,-63.695787,,0,12,49,9,1
77969715,1309,sur,GH,3,0,4,124,82,2,215,28,8,0,0,1,37,37,2,21,0,-42.794932,-63.69387,,0,21,215,37,2
77969712,1314,sur,H1,1,0,2,81,55,6,145,17,5,0,0,2,24,24,0,49,0,-42.794244,-63.691067,,0,49,145,24,0
77969711,1315,sur,H1,1,0,0,37,23,1,62,6,1,0,0,0,7,7,0,37,0,-42.793438,-63.68868,,0,37,62,7,0
77969709,1317,sur,H1,1,0,2,37,27,0,67,17,0,0,0,0,17,17,0,39,0,-42.792901,-63.685824,,0,39,67,17,0
77969706,1318,sur,H1,1,0,0,5,1,0,7,0,0,0,0,0,0,0,1,0,0,-42.79276,-63.684733,,0,0,7,0,1
77969704,1320,sur,H1,1,0,3,58,1,0,63,3,2,0,0,0,5,5,1,32,0,-42.792542,-63.682027,,0,32,63,5,1
77969704,1320,sur,S,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-42.792055,-63.680639,,0,0,1,0,0
77969702,1322,sur,H1,1,0,0,44,32,2,79,0,0,0,0,0,0,0,2,109,0,-42.792508,-63.679351,,0,109,79,0,2
