timestamp,significant_wave_height_spotter,wind_speed_spotter,bottom_temperature_spotter,top_temperature_spotter
2023-01-25T16:48:00.000Z,,,14.520000000000003,15.020000000000003
2023-01-25T17:08:00.000Z,0.2,0.4,14.520000000000003,15.200000000000003
2023-01-25T17:28:00.000Z,,,14.439999999999998,15.219999999999999
2023-01-25T17:48:00.000Z,,,14.300000000000004,15.079999999999998
2023-01-25T18:08:00.000Z,,,14.160000000000004,14.980000000000004
2023-01-25T18:28:00.000Z,,,14,14.759999999999998
2023-01-25T18:38:00.000Z,0.19,0.8,,
2023-01-25T18:48:00.000Z,,,13.759999999999998,14.420000000000002
2023-01-25T19:08:00.000Z,0.19,0.8,13.660000000000004,14.060000000000002
2023-01-25T19:28:00.000Z,,,13.939999999999998,14.18
2023-01-25T19:48:00.000Z,,,14,14.259999999999998
2023-01-25T20:08:00.000Z,,,13.96,14.079999999999998
2023-01-25T20:28:00.000Z,,,14,14.119999999999997
2023-01-25T20:38:00.000Z,0.18,0,,
2023-01-25T20:48:00.000Z,,,14.04,14.160000000000004
2023-01-25T21:08:00.000Z,0.17,0.4,14.160000000000004,14.399999999999999
2023-01-25T21:28:00.000Z,,,14.300000000000004,14.64
2023-01-25T21:48:00.000Z,,,14.219999999999999,14.719999999999999
2023-01-26T00:08:00.000Z,,,14.780000000000001,15.060000000000002
2023-01-26T00:28:00.000Z,,,14.740000000000002,15.060000000000002
2023-01-26T00:38:00.000Z,0.17,0.4,,
2023-01-26T00:48:00.000Z,,,14.780000000000001,15.100000000000001
2023-01-26T01:08:00.000Z,0.2,0,14.780000000000001,15.160000000000004
2023-01-26T01:28:00.000Z,,,14.86,15.18
2023-01-26T01:48:00.000Z,,,14.939999999999998,15.240000000000002
2023-01-26T02:08:00.000Z,,,14.96,15.14
2023-01-26T02:28:00.000Z,,,14.96,15.060000000000002
2023-01-26T02:38:00.000Z,0.22,0.4,,
2023-01-26T02:48:00.000Z,,,14.96,15.04
2023-01-26T03:08:00.000Z,0.23,0,14.939999999999998,15.020000000000003
2023-01-26T03:28:00.000Z,,,14.899999999999999,15
2023-01-26T03:48:00.000Z,,,14.840000000000003,14.939999999999998
2023-01-26T04:08:00.000Z,,,14.82,14.939999999999998
2023-01-26T04:28:00.000Z,,,14.800000000000004,14.899999999999999
2023-01-26T04:38:00.000Z,0.24,0.8,,
2023-01-26T04:48:00.000Z,,,14.780000000000001,14.86
2023-01-26T05:08:00.000Z,0.23,0.8,14.780000000000001,14.86
2023-01-26T05:28:00.000Z,,,14.759999999999998,14.86
2023-01-26T05:48:00.000Z,,,14.68,14.800000000000004
2023-01-26T06:08:00.000Z,,,14.560000000000002,14.719999999999999
2023-01-26T06:28:00.000Z,,,14.54,14.700000000000003
2023-01-26T06:38:00.000Z,0.25,0.8,,
2023-01-26T06:48:00.000Z,,,14.46,14.619999999999997
2023-01-26T07:08:00.000Z,0.22,0.4,14.32,14.5
2023-01-26T07:28:00.000Z,,,14.200000000000003,14.36
2023-01-26T07:48:00.000Z,,,14.060000000000002,14.18
2023-01-26T08:08:00.000Z,,,13.980000000000004,14.14
2023-01-26T08:28:00.000Z,,,14,14.18
2023-01-26T08:38:00.000Z,0.23,0,,
2023-01-26T08:48:00.000Z,,,14.04,14.14
2023-01-26T09:08:00.000Z,0.22,5.6,14.100000000000001,14.18
2023-01-26T09:28:00.000Z,,,14.219999999999999,14.340000000000003
2023-01-26T09:48:00.000Z,,,14.420000000000002,14.68
2023-01-26T10:08:00.000Z,,,14.5,14.920000000000002
2023-01-26T10:28:00.000Z,,,14.520000000000003,14.920000000000002
2023-01-26T10:38:00.000Z,0.25,0,,
2023-01-26T10:48:00.000Z,,,14.420000000000002,14.880000000000003
2023-01-26T11:08:00.000Z,0.25,0.4,14.740000000000002,15.079999999999998
2023-01-26T11:28:00.000Z,,,14.82,15.200000000000003
2023-01-26T11:48:00.000Z,,,14.840000000000003,15.240000000000002
2023-01-26T12:08:00.000Z,,,14.740000000000002,15.240000000000002
2023-01-26T12:28:00.000Z,,,14.939999999999998,15.36
2023-01-26T12:38:00.000Z,0.26,0,,
2023-01-26T12:48:00.000Z,,,14.899999999999999,15.380000000000003
2023-01-26T13:08:00.000Z,0.27,0.4,14.939999999999998,15.439999999999998
2023-01-26T13:28:00.000Z,,,14.920000000000002,15.520000000000003
2023-01-26T13:48:00.000Z,,,15,15.54
2023-01-26T14:08:00.000Z,,,15.14,15.619999999999997
2023-01-26T14:28:00.000Z,,,15.380000000000003,15.759999999999998
2023-01-26T14:38:00.000Z,0.24,2.8,,
2023-01-26T14:48:00.000Z,,,15.560000000000002,15.800000000000004
2023-01-26T15:08:00.000Z,0.23,0.8,15.340000000000003,15.64
2023-01-26T15:28:00.000Z,,,15.399999999999999,15.579999999999998
2023-01-26T15:48:00.000Z,,,15.380000000000003,15.560000000000002
2023-01-26T16:08:00.000Z,,,15.219999999999999,15.54
2023-01-26T16:28:00.000Z,,,15.020000000000003,15.420000000000002
2023-01-26T16:38:00.000Z,0.22,0.4,,
2023-01-26T16:48:00.000Z,,,15,15.520000000000003
2023-01-26T17:08:00.000Z,0.19,0.4,14.96,15.340000000000003
2023-01-26T17:28:00.000Z,,,14.920000000000002,15.619999999999997
